,Name,Age,Category,Value,Count
0,Nicole Allen,25,C,54.0,5.0
1,Anthony Martinez,54,A,49.0,8.0
2,Shawn Gilbert,39,B,64.0,3.0
3,Eric Ellis,35,A,35.0,4.0
4,Chelsea Flores,24,C,6.0,3.0
5,Karen Carson,51,C,71.0,2.0
6,Rhonda Wilcox,51,A,53.0,10.0
7,Barbara Tran,24,A,62.0,9.0
8,Matthew Ward,31,B,40.0,8.0
9,Joshua Ware,19,A,81.0,4.0
10,William Stewart,54,C,43.0,5.0
11,Jonathon Thomas,23,B,75.0,10.0
12,David Ortiz,23,A,99.0,2.0
13,Rachel Salinas,55,,4.0,2.0
14,Lisa Chen,61,B,41.0,10.0
15,Kari Estrada,31,B,65.0,3.0
16,Alexandra Green,21,C,7.0,9.0
17,Alexandra Green,21,C,7.0,9.0
18,Stephanie Henderson,33,C,39.0,5.0
19,Diane Brown,50,B,37.0,5.0
20,Dana Hodge,21,C,,3.0
21,Lisa Chen,44,A,78.0,10.0
22,Rose Rios,49,B,54.0,3.0
23,Mark Hester,35,C,44.0,4.0
24,Mark Hester,35,C,44.0,4.0
25,Julie Stuart,21,C,21.0,5.0
26,Kristy Gray,59,B,2.0,4.0
27,Ricardo Aguilar,45,C,42.0,5.0
28,Jonathan Coleman,53,A,,
29,Cynthia Byrd,41,B,78.0,8.0
30,Kimberly Hayes,38,B,11.0,7.0
31,Joshua Hughes,61,B,41.0,1.0
32,Robert Gonzalez,47,C,43.0,3.0
33,Eric Moore,37,C,18.0,1.0
34,Sandra Jones,61,C,32.0,6.0
35,Jose Barnes,43,C,17.0,2.0
36,Renee Marquez,36,C,36.0,3.0
37,Eric Myers,30,B,4.0,2.0
38,Patrick Thomas,58,A,61.0,10.0
39,Brittany Jones,45,C,86.0,5.0
40,Brenda Valentine,19,A,31.0,7.0
41,Summer Baker,35,C,74.0,5.0
42,Tamara Lowe,52,C,85.0,6.0
43,Derek Knight,55,B,80.0,2.0
44,Chase Sanders,59,A,50.0,7.0
45,Daniel Benson,21,A,35.0,3.0
46,Jennifer Perkins,41,B,42.0,5.0
47,Melissa Lewis,63,B,72.0,2.0
48,Judy Hunt,53,C,53.0,8.0
49,Luis Stevenson,44,A,21.0,9.0
50,James Tran MD,19,B,15.0,1.0
51,Melissa Hancock,29,A,46.0,4.0
52,Richard Coleman,51,A,45.0,6.0
53,Stanley Dean,18,A,30.0,10.0
54,Ian Brown,58,B,21.0,7.0
55,John Moore,54,C,10.0,1.0
56,Angela Oneill DDS,64,C,55.0,3.0
57,Renee Austin,59,B,78.0,10.0
58,Christina Irwin,42,A,93.0,9.0
59,Mark Martin,44,B,76.0,2.0
60,Ms. Samantha Steele,24,C,54.0,1.0
61,Kimberly Brown,30,A,64.0,10.0
62,Mark Hines,41,C,19.0,10.0
63,Jacob Martinez,22,A,1.0,9.0
64,Christopher Hernandez,29,B,12.0,5.0
65,Christina Osborne,21,C,25.0,6.0
66,Jennifer Bray,21,B,100.0,1.0
67,Lisa Lewis,42,B,96.0,6.0
68,Joyce Rivera,21,A,28.0,5.0
69,Kenneth Rollins,58,B,95.0,6.0
70,Ruben Price,51,C,97.0,7.0
71,Joseph Beck,41,A,9.0,2.0
72,Rebecca Kelly,33,A,50.0,4.0
73,Claudia Wall,47,A,97.0,5.0
74,Christopher Garrison,35,A,33.0,5.0
75,John Young,20,A,6.0,8.0
76,Robert Davidson,20,A,2.0,7.0
77,William Caldwell,40,C,9.0,9.0
78,Jill Lopez,48,C,65.0,4.0
79,Carrie Trujillo MD,28,A,60.0,3.0
80,Angela Mora,59,C,6.0,6.0
81,Peter Hansen,19,C,55.0,4.0
82,Phyllis Johnson,24,C,58.0,4.0
83,Megan Brown,19,C,95.0,1.0
84,Martin Mason,59,C,7.0,5.0
85,Grace Hoffman,45,A,23.0,2.0
86,Matthew Ortega,36,B,64.0,7.0
87,Karen Davies,60,C,53.0,2.0
88,Derrick Jones,50,A,22.0,4.0
89,Stephanie Stevenson,39,C,11.0,4.0
90,Donald Ayala,56,B,33.0,2.0
91,John Ramirez,39,A,69.0,5.0
92,Dr. Jonathan Cook,27,B,83.0,9.0
93,Michael Miller,37,A,19.0,2.0
94,Karen Williams,47,B,29.0,8.0
95,Jamie Knight,52,B,34.0,10.0
96,Linda Dalton,61,A,61.0,3.0
97,Donald Blevins,60,C,58.0,4.0
98,Mrs. Mary Sampson MD,42,C,81.0,5.0
99,Lawrence Rodriguez,59,B,23.0,9.0
