,ID,Name,State Resident,Tuition,Financial Aid
0,17,Alexandra Green,Yes,20000.0,5180
1,18,Alexandra Green,No,30000.0,7087
2,81,Angela Mora,Yes,20000.0,12031
3,57,Angela Oneill ,Yes,20000.0,7064
4,2,Anthony Martinez,Yes,20000.0,6479
5,8,Barbara Tran,Yes,20000.0,9076
6,41,Brenda Valentine,No,30000.0,9915
7,40,Brittany Jones,Yes,20000.0,14916
8,80,Carrie Trujillo,Yes,20000.0,5444
9,45,Chase Sanders,No,30000.0,5594
10,5,Chelsea Flores,Yes,20000.0,9534
11,59,Christina Irwin,No,30000.0,13709
12,66,Christina Osborne,Yes,20000.0,7542
13,75,Christopher Garrison,No,30000.0,12956
14,65,Christopher Hernandez,No,30000.0,9378
15,74,Claudia Wall,Yes,20000.0,12958
16,30,Cynthia Byrd,Yes,20000.0,11964
17,21,Dana Hodge,Yes,20000.0,14628
18,46,Daniel Benson,Yes,20000.0,8995
19,13,David Ortiz,Yes,20000.0,14902
20,44,Derek Knight,Yes,20000.0,8172
21,89,Derrick Jones,No,30000.0,14396
22,20,Diane Brown,No,30000.0,11660
23,91,Donald Ayala,Yes,20000.0,9745
24,98,Donald Blevins,Yes,20000.0,12147
25,93,Jonathan Cook,Yes,20000.0,8386
26,4,Eric Ellis,No,30000.0,12978
27,34,Eric Moore,Yes,20000.0,10785
28,38,Eric Myers,Yes,20000.0,7008
29,86,Grace Hoffman,No,30000.0,12102
30,55,Ian Brown,Yes,20000.0,6977
31,64,Jacob Martinez,Yes,20000.0,14655
32,51,James Tran MD,Yes,20000.0,5369
33,96,Jamie Knight,No,30000.0,9843
34,67,Jennifer Bray,Yes,20000.0,6742
35,47,Jennifer Perkins,Yes,20000.0,14608
36,79,Jill Lopez,No,30000.0,10873
37,56,John Moore,Yes,20000.0,8745
38,92,John Ramirez,Yes,20000.0,7133
39,76,John Young,No,30000.0,9403
40,29,Jonathan Coleman,Yes,20000.0,9574
41,12,Jonathon Thomas,No,30000.0,12411
42,36,Jose Barnes,No,30000.0,13846
43,72,Joseph Beck,Yes,20000.0,11743
44,32,Joshua Hughes,Yes,20000.0,10176
45,10,Joshua Ware,No,30000.0,11174
46,69,Joyce Rivera,Yes,20000.0,9485
47,49,Judy Hunt,Yes,20000.0,9404
48,26,Julie Stuart,Yes,20000.0,12640
49,6,Karen Carson,Yes,20000.0,10260
50,88,Karen Davies,Yes,20000.0,7821
51,95,Karen Williams,No,30000.0,13375
52,16,Kari Estrada,Yes,20000.0,12814
53,70,Kenneth Rollins,Yes,20000.0,9461
54,62,Kimberly Brown,No,30000.0,12401
55,31,Kimberly Hayes,No,30000.0,10327
56,27,Kristy Gray,Yes,20000.0,5200
57,100,Lawrence Rodriguez,Yes,20000.0,13674
58,97,Linda Dalton,Yes,20000.0,11388
59,15,Lisa Chen,Yes,20000.0,11967
60,22,Lisa Chen,No,30000.0,9901
61,68,Lisa Lewis,Yes,20000.0,10445
62,50,Luis Stevenson,Yes,20000.0,11464
63,25,Mark Hester,Yes,20000.0,12729
64,24,Mark Hester,Yes,20000.0,8671
65,63,Mark Hines,Yes,20000.0,14912
66,60,Mark Martin,Yes,20000.0,12477
67,85,Martin Mason,Yes,20000.0,6853
68,87,Matthew Ortega,Yes,20000.0,11835
70,84,Megan Brown,No,30000.0,5350
71,52,Melissa Hancock,Yes,20000.0,11960
72,48,Melissa Lewis,Yes,20000.0,11571
73,94,Michael Miller,No,30000.0,13234
74,99,Mary Sampson ,Yes,20000.0,8653
75,61,Samantha Steele,No,30000.0,13103
76,1,Nicole Allen,Yes,20000.0,9677
77,39,Patrick Thomas,Yes,20000.0,12634
78,82,Peter Hansen,No,30000.0,7489
79,83,Phyllis Johnson,Yes,20000.0,6278
80,14,Rachel Salinas,Yes,20000.0,11405
81,73,Rebecca Kelly,No,30000.0,14502
82,58,Renee Austin,Yes,20000.0,9818
83,37,Renee Marquez,Yes,20000.0,11019
84,7,Rhonda Wilcox,Yes,20000.0,9468
85,28,Ricardo Aguilar,Yes,20000.0,11276
86,53,Richard Coleman,Yes,20000.0,12633
87,77,Robert Davidson,No,30000.0,8210
88,33,Robert Gonzalez,Yes,20000.0,12805
89,23,Rose Rios,Yes,20000.0,11038
90,71,Ruben Price,No,30000.0,9704
91,35,Sandra Jones,Yes,20000.0,12543
92,3,Shawn Gilbert,Yes,20000.0,14750
93,54,Stanley Dean,Yes,20000.0,11481
95,90,Stephanie Stevenson,Yes,20000.0,13431
96,42,Summer Baker,Yes,20000.0,12094
97,43,Tamara Lowe,Yes,20000.0,5761
98,78,William Caldwell,No,30000.0,10663
99,11,William Stewart,Yes,20000.0,9349
100,4,Eric Ellis,No,30000.0,12978
