Name,Age,Category,Value,Count
Nicole Allen,25,C,54,5
Anthony Martinez,54,A,49,8
Shawn Gilbert,39,B,64,3
Eric Ellis,35,A,35,4
Chelsea Flores,24,C,6,3
Karen Carson,51,C,71,2
Rhonda Wilcox,51,A,53,10
Barbara Tran,24,A,62,9
Matthew Ward,31,B,40,8
Joshua Ware,19,A,81,4
William Stewart,54,C,43,5
Jonathon Thomas,23,B,75,10
David Ortiz,23,A,99,2
Rachel Salinas,55,,4,2
Lisa Chen,61,B,41,10
Kari Estrada,31,B,65,3
Alexandra Green,21,C,7,9
Alexandra Green,21,C,7,9
Stephanie Henderson,33,C,39,5
Diane Brown,50,B,37,5
Dana Hodge,21,C,,3
Lisa Chen,44,A,78,10
Rose Rios,49,B,54,3
Mark Hester,35,C,44,4
Mark Hester,35,C,44,4
Julie Stuart,21,C,21,5
Kristy Gray,59,B,2,4
Ricardo Aguilar,45,C,42,5
Jonathan Coleman,53,A,,
Cynthia Byrd,41,B,78,8
Kimberly Hayes,38,B,11,7
Joshua Hughes,61,B,41,1
Robert Gonzalez,47,C,43,3
Eric Moore,37,C,18,1
Sandra Jones,61,C,32,6
Jose Barnes,43,C,17,2
Renee Marquez,36,C,36,3
Eric Myers,30,B,4,2
Patrick Thomas,58,A,61,10
Brittany Jones,45,C,86,5
Brenda Valentine,19,A,31,7
Summer Baker,35,C,74,5
Tamara Lowe,52,C,85,6
Derek Knight,55,B,80,2
Chase Sanders,59,A,50,7
Daniel Benson,21,A,35,3
Jennifer Perkins,41,B,42,5
Melissa Lewis,63,B,72,2
Judy Hunt,53,C,53,8
Luis Stevenson,44,A,21,9
James Tran MD,19,B,15,1
Melissa Hancock,29,A,46,4
Richard Coleman,51,A,45,6
Stanley Dean,18,A,30,10
Ian Brown,58,B,21,7
John Moore,54,C,10,1
Angela Oneill DDS,64,C,55,3
Renee Austin,59,B,78,10
Christina Irwin,42,A,93,9
Mark Martin,44,B,76,2
Ms. Samantha Steele,24,C,54,1
Kimberly Brown,30,A,64,10
Mark Hines,41,C,19,10
Jacob Martinez,22,A,1,9
Christopher Hernandez,29,B,12,5
Christina Osborne,21,C,25,6
Jennifer Bray,21,B,100,1
Lisa Lewis,42,B,96,6
Joyce Rivera,21,A,28,5
Kenneth Rollins,58,B,95,6
Ruben Price,51,C,97,7
Joseph Beck,41,A,9,2
Rebecca Kelly,33,A,50,4
Claudia Wall,47,A,97,5
Christopher Garrison,35,A,33,5
John Young,20,A,6,8
Robert Davidson,20,A,2,7
William Caldwell,40,C,9,9
Jill Lopez,48,C,65,4
Carrie Trujillo MD,28,A,60,3
Angela Mora,59,C,6,6
Peter Hansen,19,C,55,4
Phyllis Johnson,24,C,58,4
Megan Brown,19,C,95,1
Martin Mason,59,C,7,5
Grace Hoffman,45,A,23,2
Matthew Ortega,36,B,64,7
Karen Davies,60,C,53,2
Derrick Jones,50,A,22,4
Stephanie Stevenson,39,C,11,4
Donald Ayala,56,B,33,2
John Ramirez,39,A,69,5
Dr. Jonathan Cook,27,B,83,9
Michael Miller,37,A,19,2
Karen Williams,47,B,29,8
Jamie Knight,52,B,34,10
Linda Dalton,61,A,61,3
Donald Blevins,60,C,58,4
Mrs. Mary Sampson MD,42,C,81,5
Lawrence Rodriguez,59,B,23,9
